doc0: instruments; Archimandrite; Agathocles; anatomy; glutathione; Indic scripts; hydrogen ion; population pyramid; E-mail advertising; maximum transfer; John Philoponus; national average; crime rate; Southeast Asia; always respect; volleyball at; Pope Honorius; Summer Paralympics; body parts; below the national average; 
doc1968: John-Boy; Walton; fossils; crocodiles; escalate; John Walton; surviving children; toll road; Toll Road; other direction; Richard Thomas; throughout the series; opening and closing; first member; avid reader; Martin Luther; each episode; his family; general election; attack on Pearl Harbor; 
doc1969: subcellular; immunohistochemistry; Metropolitan; Yorkshire; Borough; Metropolitan Borough; particular protein; Borough Council; cell types; mass spectrometry; broadband network; Various methods; local authorities; research fellow; throughout their high school career; been employed; presence or absence; Each student; Medical Center; visual arts; 
doc1970: expressions; paramilitaries; Chimps; independence; disco; facial expressions; richest province; Congolese soldiers; mining companies; fleeting moment; communicate with each; still considered; often hired; Donna Summer; against their; most successful; same period; disco hit; United Nations; which came; 
doc1971: turbocharged; Cilician; Calligraphy; Armenian; amusement; wash painting; Marshall Hall; local population; opening the border; unsuccessful attempts; subsequently appeared; Smithsonian Institution; opposite directions; enforcement agencies; constructed there; Dinosaur National Monument; diplomatic relations; documentary series; London Underground; Royal Shakespeare; 
doc1972: government's; Kenyans; inadmissible; Kenyan; Ambassadors; Kenyan government's; UN Security; he intended; taking place; two cases; shortly after; New Mexico; 
doc1973: Representation; Constituency; Sankunni; Persipas; Intergovernmental; Representation Constituency; Wrestling Championships; Secret Service; Meteorological Society; politically motivated; Indonesian football; Traditional Chinese; Simplified Chinese; panel discussions; Wilhelm Schröder; Football Association; traction engines; stationary steam; journal articles; pioneering work; 
doc1974: Amerindian; Liberian; mercenaries; Argentines; component; Liberian mercenaries; European component; Buenos Aires have some degree; Ivory Coast; mitochondrial DNA; Buenos Aires; middle classes; gastropod mollusk; lower classes; Northern and Southern; Y chromosome; upper class; species of very small sea snail; very small sea snail; This species; 
doc1975: McClennan; coached; included; commemorated; O'Sullivan; fiftieth anniversary; June Allyson; marked the opening; two volumes; Art Gallery; The Mount; Her works; her husband; Early life; from the; 
doc1976: autobiographical; memory; memories; stressful; Autobiographical; autobiographical memory; flashback memories; memory system regarding; episodic memory; information about; International honours; parchment leaves; almost immediately; semantic memory; specific event; codex contains; Military career; Rugby Football Union; Political career; codex contains the text; 
doc1977: Bandana; disciplines; experimental; reinstatement; trolleybuses; experimental film; pre-novice disciplines; educational resources; Y Bandana; line T; contributing factor; African continent; including Senior; Skaters competed; newspapers and magazines; and the pre-novice disciplines; self-titled debut; ladies singles; alternative rock; Skaters competed in the disciplines; 
doc1978: Prettyman; Carbajal's; Statements; Sinclair; Tsunami; meeting place; music video; under the direction; time constraints; January 2011; their first; Nikola Pašić; recorded over; written and recorded; much quicker; 1974 History; Go Out; his ex-wife; The ensuing; part because; 
doc1979: registries; Kaukonen; gifts; Falzarano; inappropriate; The Cathedral; District Attorney's; digital publishing; publishing company; Attorney's Office; household items; discount stores; Anglican church; security guard; church located; mobile devices; William Henry; six children; two blocks; each gift; 
doc1980: Anushka; Ranvir; cursed; Universidad; Seawolves; marketing communications; Northwestern University; Business Administration; story continues; Kashima Antlers; Montana State; Science degree; Sam Houston; She received; Cum Laude; Mexico City; third round; but their; they also; next few; 
doc1981: Skylarks; Singing; Distinctive; Fukushima; nuclear; Singing Skylarks; software companies; Distinctive unit insignia; started working; University of California; Family life; has said; raise funds for the charity; former member; raise funds; December 2009; 22 December; would take; years before; clean up; 
doc1982: Lyttle; Legislature; reasonable; Cosmopterix; Kashmir; Jammu and Kashmir; Constitutional Court; represented the University; represented the University of Illinois; Fighting Illini; natural causes; men's basketball; current head; good results; daughter of William; University of Illinois; past lives; married Mary; Indian state; no children; 
doc1983: Kuznetsova; Zvonareva; Alipurduar; tournament; wildcard; Martínez Sánchez; Secondary Education; María José Martínez Sánchez; Vera Zvonareva; Decadal growth; Alipurduar I block; Board of Secondary; second round; Peng Shuai; important activities; first round; Open Era; block registered; Ralph Abercromby; 1991-2001 decade; 
doc1984: Easily; Nemeth; windsurf; partnered; Cosmopterigidae; windsurf boards; Cosmopterigidae family; Yakity Yak; reinforced concrete; Fighting Illini; determine the optimal; Ohio Valley Wrestling; Western District; professional debut; men's basketball; Eastern Cape; cannot afford; Ted McNaler; OVW Southern Tag; made his professional debut; 
doc1985: intervention; Vietnamese; Kenner; malpractice; African-American; military intervention; personal injury; intervention in Libya; pancreatic cancer; artillery support; civil litigation; The intervention; The international; seems logical; allied forces; Libyan civil; The operation; 3rd Division; no-fly zone; Order of Santiago; 
doc1986: VandeVelde; importation; collegiate; symbolism; Ramirez; descriptions of nature; Ashley Dixon; private use; Meri Terhan; Cloud State; first career; introduced legislation; All-Tournament Team; moral law; 6–2 win; Indoor Championships; Dartmouth College; hat trick; collegiate career; Athletics Indoor; 
doc1987: Rosberg; 'Weinberg'; session; Alboreto; Piquet; Saturday afternoon; single qualifying; increasingly used; Shortly afterwards; third consecutive; Jewish surname; pole position; finished fifth; close friends; been caused; found himself; first race; local media; joined on the front row; front row; 
doc1988: Ellenberger; al-Majali; SynOptics; Mukherjee; Jordanian; Hazza' al-Majali; Ellenberger Park; CEO and President; non-profit corporation; independent Catholic; Concordia Stingers; playback singers; fully accredited; Socialist Unity; financial support; executive director; currently serves; Texas Education Agency; former deputy; established in 1988; 
doc1989: Ram’s; counter-revolutionary; tackling; thumb; Penarth; Lord Ram’s; Scientific Interest; foots thumb; Site of Special Scientific Interest; television critics; Entertainment Weekly; positive reviews from television critics; never completed; left leg; played roles; because there; December 2005; positive reviews; required to keep; topped off; 
doc1990: Cormier; Nontron; Galusha; Control; Curling; Amber Holland; All-American Girls Professional Baseball; Scotties Tournament; round robin; Financial Services; threw right-handed; small size; suitable habitat; journal articles; associate editor; Deputy Secretary; defending champions; Scotties Tournament of Hearts; World Curling; Baseball League; 
doc1991: Hillsboro; Bagley; Tillamook; come-from-behind; reproduce; Assistant Commissioner; NEFC Championship Game; Bogan division; named Bagley; Metropolitan Police; full-length studio; 2003 the Owls; will also; no consideration; band's first full-length; Olympics and Paralympics; Presbyterian Church; straight season; getting married; division title; 
doc1992: LeTourneau; subconscious; moratorium; bushbaby; Chiang; International Federation; professional league; became disillusioned; traditional Chinese; Altogether there; currently ranked; Southern China; Sigmund Freud; Abraham Lincoln; equal status; large portion; landing craft; match played; Song Dynasty; January 1999; 
doc1993: Kipnis; Inglis; Guarapari; Sheaffer; cartridges; Highway Department; artwork Inuzuka; Arizona State; Diego Padres; Coaches Association; Visually Impaired; considerable damage; significant impact; office assistant; poorly maintained roads; following are examples; heavily engaged; Cape Cod; primary or secondary; live audience; 
doc1994: Moriches; Frowein; Montauk; candidates; Destinations; East Moriches; Moriches Station; Center Moriches; Frowein Road; along the north side; Long Island; Montauk Highway; more convenient; Democratic Republic; Montauk Branch; north side; elections were held; being elected; She wrote; put forward; 
doc1995: nationalization; disciplines; Hughes; standings; plotted; teams' standings; pre-novice disciplines; following season; including Senior; Skaters competed; and the pre-novice disciplines; Summer Olympics; finished fourth; ladies singles; Skaters competed in the disciplines; lesbian couple; disciplines of men's; announced his retirement; men's singles; coal industry; 
doc1996: incroyable; Corners; Nouvelle; census-designated; Estates; Four Corners; Diego Country Estates; un incroyable; ça continue; La France a un incroyable talent; San Diego; census-designated place; unincorporated community; final because; metropolitan area; television show; located within; also located; Also in 2009; In 2009; 
doc1997: entanglement-assisted; inclusions; quantum; Littleton; theorem; coding theorem; autophagy machinery; effector molecules; quantum mutual information of the channel; Kingdom of Navarre; Straw Poll; percent of the area; Catholic secondary; transmitted through; Missionary Society; King of France; American musician; information can; other activities; Stanley Forman; 
doc1998: TACAN; VOR/DME; navigation; bearing; collectively; navigation system; known collectively; military aircraft; civil aircraft; civil aviation; revolves around; commonly referred; started working; more accurate; system used; It provides; takes place; over the last; In October; 
doc1999: Pernambucano; Schauenburg; Campeonato; signifier; Crowe; Campeonato Pernambucano; Crowe Valley Blues; athletic director; subsequent years; basketball coach; projected onto; Archbishop of Cologne; relegated down; his predecessor; In subsequent; IFK Göteborg; album's release; his subsequent; there before; elder brother; 
doc2000: Cord-impressed; Organizations; institutional; Massachusetts; Potomac; three-and-a-half stars; communication channel; Republican nomination; Governor's Council; Massachusetts House; facial features; lack of institutional; similar model; assigns a normalized; On Metacritic; received by critics; currently holds; album received; more secure; described the album; 
doc2001: Família; Sagrada; socks; uppers; Sterkaj; Sagrada Família; Inspector Singh; ribbed uppers; experience of pain; sketch of the project; mass communication; which ultimately; album achieved; been situated; would have; track record; language used; Socialist Party; carried out; not completed; 
doc2002: Grizzlies; Chrystopher; editor-in-chief; nationalised; Ceylon; The Grizzlies; Lake House; Shawn Chrystopher; 2004 against; sacked by the government; became editor-in-chief; Silva was sacked; Associated Newspapers; Times of Ceylon; creative director; permanent member; appointed editor; appointed deputy; 10th Anniversary; finishing fourth; 
doc2003: spectrum; inspirational; Internacional; accommodation; contingency; World Championship; great song; future innovation; Public Relations; appearance came; new construction; American singer; I think; public relations; This provides; first round; probably one; there needs; Jo Stafford; ranked among; 
doc2004: existentialism; post-structuralism; nationalism; postmodernism; conservatories; Oskar Reinhart; Dutch Fashion; significant influence; historical and architectural; prominent example; Poverty Reduction; American engineer; Entertainment Weekly; transport company; negative response; common interests; Professor Emeritus; which converted; Chart performance; describes itself; 
doc2005: fullback; Ophthalmology; coefficients; offseason; probability; new territory; Francisco 49ers; single reached; In mathematics; reached number; magnum opus; San Francisco; He would; Hot 100; are now; his first; It was; from the; 
doc2006: Barleycorn; Evil-Merodach; Russell; heliosphere; anti-matter; Kingston Russell; own anti-matter; Attorney General; Michel family; Clausura championship; national president; Copa Libertadores; Justice Department; established himself; family moved; worked tirelessly; naval bombardment; important player; Veterans Affairs; Information Systems; 
doc2007: Scary; Movies; Nuttin'; Royce; Eminem; Scary Movies; Meets Evil; Nuttin' to Do; also featured; Ambassador of Colombia; Triglav Trophy; solo projects; featured on the soundtrack; January 2010; would work; Royce Da 5'9; October 1; year later; would go; hip hop; 
doc2008: Crosby; Wellington; Butler; Motorcycle; sweetheart; completing his education; volleyball player; Adults are; 15 January; Adults are on wing; time after; August 2007; March 23; 3 August; New Zealand; high school; In June; had been; into the; from the; 
doc2009: Slovenia; Ohio; clotting; southeastern; statistical; dispersed settlement; southeastern Slovenia; Slovenia statistical; historical region; blood clotting; General Samuel; included in the Southeast Slovenia statistical; municipality is now included; historical region of Lower Carniola; Lower Carniola; Butler County; hills west; now included; studied law; law under; 
doc2010: Contador; Franco-Prussian; Kirchbach; nintedanib; Contador's; Aviation Maintenance; Franco-Prussian War; Contador's squad; Alberto Contador; previously held; director general of Quebec; wound healing; Transportation Company; Quebec City; outstanding shares; Canada determined; finishing eighth; Michele Scarponi; had previously; position before; 
doc2011: Damsels; interview; Distress; Waitangi; Nakouzi; Damsels in Distress; Lincoln Center; Coleophoridae family; organization founded; locations throughout; continuing through; various locations; financial markets; Film Institute's; Baptist minister; industry leaders; Film Festival; Zealand's North Island; northern shore; Wrecking Crew; 
doc2012: Softsystems; solutions; Sverdrup; Ringnes; panchayat; Massachusetts Department; Massachusetts Department of Elementary; Massachusetts Department of Elementary and Secondary; Elementary and Secondary; Secondary Education; village and panchayat; panchayat in Ranga; village and panchayat in Ranga Reddy; Ranga Reddy; currently designated; Coleophoridae family; transport aircraft; Financial Services; differences found; Supervisory Board; 
doc2013: chronometers; chronometer; Willoughby; Australians; Parachute; Baron Willoughby; Willoughby of Parham; make observations; Airborne Division; frequent stops; Home Counties; Despite his wounds; his comrades; good results; until January; barely able; January 1948; The barony; daughter of John; 4th Earl of Rutland; 
doc2014: Guangzhou; Kung; wholesalers; village; Hark; Kung Fu; starting pitcher; Hark Fu; Polo Grounds; Frank Thomas; accepted the offer; home village; earned run average; 4–1 loss; invited him; returned to his home; martial arts; present day; York Mets; Salt Lake; 
doc2015: Helgakviða; Hundingsbana; Helgi; activist; accommodation; Helgakviða Hundingsbana; Arrow Dynamics; move closer; another song; low prices; don't know; Old Norse; know how; I still; I don't; so many; I have; there are; or the; 
doc2016: flowering; Library; sephirot; Karroubi; reformist; Divine attributes; first semi-final; plant is flowering; stem leaves; environmental conditions; reformist politician; 19 squad; single location; greater variety; His performance; 2010–11 season; other artifacts; senior advisor; same mechanism; new three-year; 
doc2017: Greek-Catholic; Cossacks; Polish–Lithuanian; liquidation; Tronnier; Greek-Catholic Church; liquidation of the Greek-Catholic; Louis Tronnier; Sikh Labanas; Knight's Cross; prisoner-of-war camp; 27 January 1952; TaxPayers' Alliance; successful military leadership; battlefield bravery; recognise extreme battlefield bravery; political situation; Knight's Cross of the Iron; battlefield bravery or successful military leadership; Iron Cross; 
doc2018: Administratively; Participated; Abstracting; rotational; aircraft; Six Mile Run; General Certificate; Franklin Township; Secondary Education; previous rounds; Abstracting and indexing; Fighter Squadron; penalty shootout; military forces; very painful; play during; F-100 Super Sabre; right thing; minutes of play; US military; 
doc2019: Bunbury; Antarctic; retirement; Jane; Herbarium; National Museums; awarded annually; research fellow; only daughter; Life Sciences; daughter of William; He succeeded; East African; second son; 1st Baron; 26 August; held until; gave birth; was established; birth to a boy; 
doc2020: O’Neil; Ra’s; spaceship; centerfielder; 6-orthoplex; Ra’s spaceship; Ra’s gliders; Romanesque architecture; Northwestern University; including developing; minor league; plate appearances; Lieutenant Governor; guidance system; Lieutenant General; Supreme Court; abstracted and indexed; Louis Cardinals; spring training; then allowed; 
doc2021: Busby; Slovenia; fast-medium; marješke; Necessary; right-arm fast-medium; southeastern Slovenia; Slovenia statistical; right-handed batsman; marješke Toplice; historical region; estimated population; small settlement; bowled right-arm; professional football; English cricketer; included in the Southeast Slovenia statistical; historical region of Lower Carniola; batsman who bowled right-arm; Lower Carniola; 
doc2022: sustainability; gentlemen's; entitlement; hypothetical; preservation; presidential candidates; 2008 presidential; tax policies; few thousand; would never; until 2006; year after; just a few; would not; In 2008; in the United States; United States; It was; 
doc2023: accommodate; bridge; pedestrians; Volleyball; streetcar; With the addition; Santa Cruz; In 1905; The film; 
doc2024: tentative; conventionally; mathematically; joyous; restructuring; tentative list; Heritage list; distressed securities; chairman of the board; Operating Officer; named chairman; White Denim's; Grateful Dead; member states; been described; they may; but were; As of 2012; The album; In addition; 
doc2025: Santillan; Argentina; personalities; achieve; conferences; every day; very important; South American; TV program; To achieve; South America; 15 March; born 15; which has; 
doc2026: Baník; Schumacher; McDonald's; Hadamczik; Barrichello; Dukla Prague; chronological list; York Times; developing countries; Publishers Weekly; Shamrock Rovers; bestseller list; plastic gloves; eliminated in the semi-finals; also adjacent; September 2001; Her first appearance; some seasons; January 1978; The practice; 
doc2027: Abbreviations; Manufacturer; scrublands; Mediterranean; captives; primary source; meters above sea level and inhabits; command post; sea level and inhabits; Towards the end of the war; Towards the end; above sea level; end of the war; was used; World War; 
doc2028: Dortmund; Kaiserslautern; operators; TNSE; finalized; MTS Centre; consecutive title; Borussia Dortmund; second consecutive; stock exchange; announced at a press conference; press conference; another year; city council; match was played; spring of 2011; their third; NHL Entry Draft; sell the team; team would; 
doc2029: Notarbartolo; Snappy; fortifications; prizewinner; Carex; Snappy Snaps; store opened; Environmental Protection Agency; gain credibility; diamond merchant; combination lock; Carl Linnaeus; they remained; stores were added; The Perfect; two daughters; type species; It included; also included; ten games; 
doc2030: bodybuilding; Fitness; orchestrations; Physique; Rink; Physique Committee; Rink competed; bodybuilding competition; International Federation; negative response; permanent member; rural localities; Primetime Emmy; response from critics; competition at; been broken; achieve the title; The longest; She entered; important part; 
doc2031: Feichtinger; d'Ester; Ravelo; gang; demonstrators; Juárez cartel; Barrio Azteca; Majdal Shams; ice hockey; racing career; Formula BMW ADAC; former lieutenant; Elitserien season; actively involved; associate editor; Communist League; South-East Asia; stations during; drug trafficking; prominent part; 
doc2032: instrumentals; Körberg; compensatory; Colombia; project; Tommy Körberg; environmental issues; government policy; Francis Poulenc; water supplies; then President; album features; private sector; new government; All music; Most of the lyrics; June 1929; He received; only five; This time; 
doc2033: Kumarathunga’s; break-out; Newfoundland; Chandrika; announcement; Chandrika Kumarathunga’s; John's IceCaps; trading range; official announcement; Newfoundland and Labrador's; advisory committee; Following the announcement; definite article; Newfoundland and Labrador; Several media outlets; The conclusion; attempts to create; before the start of the season; do anything; used until; 
doc2034: schools; Normans; rivalry; posthumously; Flexible; direct competition; rivalry exists; The anonymous; west side; 19th centuries; greater part; main reasons; direct route; The schools; 18th and 19th centuries; six miles; A strong; soon after; divided into; One of the main; 
doc2035: telecommunication; Challenge; Secretary-General; Telecommunications; preparedness; Scottish Challenge; Challenge Cup; Heber Springs; Inverness Caledonian Thistle; Research Professor; Cleburne County; Scottish Football; celebrate the centenary; Advisory Committee; second segment; Research Council; Its population; Wallis and Futuna; east coast; 21 November; 
doc2036: Flashpoint; mini-series; Kenozero; Kargopol; generalizations; connecting Kargopol; Lake Kenozero; BRICS summit; travelled extensively; commercial activity; great abundance; medieval period; also served; various posts; being involved; South Africa's; Another road; served in various; Swamp Thing; northern part; 
doc2037: Kubera; conversation; Guro; temple; implementations; poison pill; Her brother; mother Anna; court cases; Division One; National League; country has; September 19; – September; September 22; The Muslim; The temple; January 10; Her mother; Charles A; 
doc2038: Stenhousemuir; Palmstrøm; best-of-five; explanations; Dundee; Gothic architecture; Scottish Challenge; penalty shoot-out; single story; expanded over; fine example; The entrance; early times; Challenge Cup; active in politics; People's Party; single goal; leads into; Head coach; be decided; 
doc2039: three-dimensional; Magadi; Balchen; bidirectional; impossible; mountain side; attempted to climb; Magadi Rail; leased to Magadi; American singer-songwriter; general relativity; medieval building; Scottish Football; same afternoon; Belgium and the Netherlands; both directions; location is unknown; frequently used; climb the mountain; not reduced; 
doc2040: typewriter; chocolate; Hiss; Bradman; Australian; South Australian; intelligence services; Cricket Association; approximately half; previously unknown; Football Association; finally admitted; Usenet newsgroup; Sheffield Shield; FIBA basketball; destinations in Europe; his relocation; Advanced Study; residential area; officiated at; 
doc2041: peritonsillar; Steinbrenner; federation; penicillin; Khazar; Magyar tribal federation; their God; carbon dioxide; 2nd Battalion; Priest or higher; Geographical Names; managing partner; Defensive Player; invested heavily; opening through; corrugated iron; Airborne Division; public meetings; which suggests; 101st Airborne; 
doc2042: Voorne-Putten; Rozenburg; Hollandse; Heartland; Dordrecht; Nieuwe Maas; described as having; The maximum; The water; has about; its seat; about 10; The area; there were; have been; It has; It was; 
doc2043: eclipse; eclipses; solar; occur; whenever; eclipse will occur; whenever there; eclipse season; close enough; new moon; full moon; total eclipse; promoted from; very beginning; beginning of the season; West Region; During the season; First Division; vice versa; time during; 
doc2044: Crestmore; Skåneland; Penzance; Congress; undergraduates; Crestmore Heights; French India National Congress; public meeting; other jurisdictions; rival organization; census-designated place; Riverside County; public meetings; official match; cause problems; southern portion; magazine said; dominated the match; Village Voice; meeting held; 
doc2045: McPhilemy; Zilinskiene; Kerr; Abrashi; multinational; trade mission; Cross Rhythms; Military Intelligence; Duke of Edinburgh; unburden himself; competitive goal; His performances; Overtime Losses; American Journal; Social Sciences Citation Index; topics related; slightly above; following game; late substitute; abstracted and indexed; 
doc2046: cinematographer; straightforward; Interactive; developed; Chronicles; singles chart; contract extension; tourist destination; later displayed; recorded by American country music artist; Monolith Soft; published by Nintendo; written and recorded; been upgraded; recovered at; news outlets; Borough Council; He directed; song written; film director; 
doc2047: enclosure; Gibbs; Pollard; screen; check; Foreign relations; little screen; her career; playing piano; limited set; Steve Allen; Elvin Jones; She recorded; Southeast Asia; very limited; South Sudan; The screen; LCD screen; IP address; height of her career; 
doc2048: sequencing; Haggard; nanopore; instant-on; Wrather's; nanopore sequencing; Philip Neri; Organ Company; operating system; Composite molds; Colorado Springs; Stable prices; Clarke Quay; players such; Le Mans; creative differences; September 2010; close relationship; Operating Systems; Illinois Central Railroad; 
doc2049: Documentary; Constituent; Gere�avci; Elsthorpe; Balti; Constituent Assembly; auxiliary teacher; Jury Award; Mountain party; Balti language; rotary clothes hoist; promotional material; La Unión; French politician; This information; previous single; north-west from; Film Festival; This transfer; local residents; 
doc2050: contestants; receptors; rightness; 2TOP; Tully; 2TOP receptors; single contestants; war in general; REFLEC BEAT; war effort; presidential primaries; European Championships; most devastating; distinct phases; German Empire; Republican Party; unable to recognize; This feature; new bride; there are more than; 
doc2051: consumer's; credit; Chennai; wildcards; Herbert's; consumer's credit; players received wildcards; players received wildcards into the singles; wildcards into the singles; previous season; improve upon; nine seasons; wildcards into the singles main draw; singles main draw; This station; CDP covers; square miles; stop at this station; Census Bureau; began the season; 
doc2052: Jagannath; Gajapati; Manika; Polesye; Institution; Lorg Jagannath; 2011 K-League; socio-economic development; Second League; Middle East; financial troubles; Armed Forces; planning permission; Greek resistance; Margaret Thatcher; following round; defending champion; relegated back; purchase price; progressive rock; 
doc2053: necromancer; Freyja; Damara; cryptically; robberies; closely related; The ending; He starts; true love; her death; not all; but one; 
doc2054: replacing; Alcohol; recruited; Irwin; round; Exim Bank Team; Indoor Championships; different countries; continued playing; Athletics Indoor; expressed concern; Local government; Valuable Player; series against; stepping down; seven minutes; finals series; David Cameron; Barry Manilow; relocated to London; 
doc2055: Dialog; 1-800-Mattress; Harshmanites; DIALOG; ProQuest; Community Industries; Thompson Reuters; items usable; army rations; WAC uniforms; refused entry; naval vessels; valves used; valves used on naval vessels; candy for army rations; conscientious objector; items usable in war; manufacturing plant; diplomatic efforts; enormous success; 
doc2056: Chance; Overtime; three-and-a-half; Gdańsk; positive; positive review; three-and-a-half stars; financial difficulties; Entertainment Weekly; Overtime Losses; Nationalliga A; former professional; Polska Liga Hokejowa; debut album; ice hockey; Department of Public; The Cleveland; received mixed; three stars; second level; 
doc2057: interoperability; guidelines; Corinth; Aigeira; investigation; The investigation; town Aigeira; municipal unit; sexually transmitted; congressional district; former municipality; include almost; generally have; 2011 local government reform; digital media; Republican Party; member of the Republican Party; Since the 2011 local government reform; West Greece; December 2001; 
doc2058: simultaneous; simultaneously; inevitably; representatives; Catalonia; each district; financial institutions; Deputy Commissioner; other official; sometimes referred; formerly part; two versions; These two types; Ring Road; time after; Route 47; The board; The road; km long; some time; 
doc2059: Internet; registration; departed; simplification; Adisak; which departed; parliamentary elections; 8 November; technical support; Technical Center; thus ensuring; friendly match; tennis courts; political and social; sports hall; she released; She sailed; she returned; 12 September; 22 September; 
doc2060: Protocol; turboprop; Yeomanry; propeller; committee; Second Protocol; Telugu version; regimental headquarters; its strength; commemorative medals; more of its strength; cent or more of its strength; estate developers; fifty per cent or more; cavalry regiment; These principles; various countries; The couple; two characters; other versions; 
doc2061: Marquez; Takasago; dissipation; Sally; Tejano; Primera División; Sally Bowles; Staff College; Peshawar University; sexual relationship; comprehensive plan; shipping business; Music Awards; Khyber Pakhtunkhwa; ancient Japanese; English merchant; consecutive season; conduct research; Guildhall School; notable members; 
doc2062: Arkhangelsky; Wenlock; Spoonhill; Lawley; ASMT; International Association; fraudulently acquired; Russian authorities; research interests; Charles decided; re-elected MP; educating the public; wife Elizabeth; elected Member; new category; Ancient Rome; eleven years; Sir Richard; death of his brother; During the 1930s; 
doc2063: Scheibe; Ajaylat; Saturdays; populations; consolidating; seven populations; Digital Spy; populations of the plant; first version; Wind Energy; It appeared; border town; The rebels; West German; very best; night out; three main; until now; its very; four out; 
doc2064: Permoplectoptera; medicine; Vikings; Franz-Joseph; Protereisma; Permoplectoptera like; Franz-Joseph Schulze; Vikings recorded; Teachers College; O'Brien added; Jack Reacher; Knight's Cross; men's soccer; successful military leadership; Virginia Commonwealth; Junior Championships; battlefield bravery; recognise extreme battlefield bravery; initially reported; Knight's Cross of the Iron; 
doc2065: consciousness; volunteers; spiritual; constant; bombardment; promotional single; naval bombardment; The volunteers; shortly after the release; The assault; early morning; radio stations; next album; her album; shortly after; even then; single from the album; single from; was called; from the; 
doc2066: Polypodioideae; non-traditional; cross-platform; subfamily; Anniversary; non-profit organizations; other traditional; larger group; which included; more recent; has two; The first; He also; 
doc2067: Süddeutscher; institute; Taaki; pounds; Dryland; Dryland Agriculture; critical apparatus; Class C1a; speed record; set a new Class C1a; Edinburgh University; software developer; emergency landing; football competition; personal property; record breaking; computer software; Seattle Seahawks; he experienced; German football; 
doc2068: Madonnina; Normandy; reorganisation; castles; electrified; northern France; Lower Normandy; remained in operation; opportunity was taken; located north; computer game; The mining; 30 September; new line; line 7; one year; are used; On 30; more than; 
doc2069: Shaibah; Oplandet; Voguing; Unclassified; Gaiety; RAF Shaibah; Broadway production; expanded during; concrete runway; late substitute; End production; present church site; home win; Jazz Records; main building; there before; but little; win over; little is known about; She appeared; 
doc2070: Mississippi; Multnomah; Starkville; unincorporated; Holbrook; Mississippi State; unincorporated community; records released; mid-1980s under; miles northwest; music career; writing songs; feet above; Hill area; State University; decided to move; Route 30; North Carolina; 15 miles; above sea level; 
doc2071: SAFF; Competitions; recumbent; d'honneur; Championship; pulmonary disease; Légion d'honneur; football competition; weight classes; Chevalier of the Légion d'honneur; marble statue; national teams; horror films; edition of the tournament; series aired; Championship is an annual; November 2010; second series; first edition; South Asian; 
doc2072: gravure; fine-tuning; Abstracting; Preventive; combinations; Athletics Championships; Athletics Championships – Women's; Abstracting and indexing; bass guitarist; Athletics Championships – Women's 4 ×; highly regarded; also released; true story; 400 metres; very best; second album; Women's 4 ×; before they; they can; rather than; 
doc2073: administrative; Shadrick; Korsakovsky; oblast; Cimino; administrative center; administrative and municipal; municipal district; district's total; Gerardo Sandoval; area of the district; Its administrative center is the town; total population; municipal division; professional baseball; Smolensk Oblast; administrative district; The area; their clients; not interested; 
doc2074: Krešić; Arshad; Automatic; phylogenetic; hypotheses; assert hypotheses; Kosovo Liberation; Krešić stated; graphs that assert hypotheses; Miskin Theatre; Liberation Army; Honor Society; Barre Bräu; phylogenetic trees; While at Penn; Megaforce Records; Attention Deficit; 1976–77 season; lead single; central government; 
doc2075: Albireo; C008; Libertadores; Melbourne's; constellation; team name; Copa Libertadores; Route 16; stark contrast; national title; research and development; entered service; developed a system; Latin word; name was changed; nor did; Grand Prix; made from; first two; The team; 
doc2076: Portland; Lifetime; organometallic; painting; Hewitt; organometallic compounds; creative differences; third season; The Oregonian; San Francisco; Celebrity Big Brother; show was officially; Sony Pictures; paving the way; father of her child; which included; October 2013; most notably; her child; November 1; 
doc2077: Alagui; Shabdrung; Walciodorus; Aphaenandra; Therapy; Scottish Challenge; JAG Physical Therapy; Challenge Cup; Ngawang Namgyal; spine rounding; rounded spine; next clue; Ian Chappell; staff at JAG Physical Therapy; provide a rounded spine; The binding; received the next clue; big bucket; team members; Je Khenpo; 
doc2078: improvements; microbreweries; record-breaking; dwellings; agricultural; agricultural products; natural disasters; hot-air balloon; Smolensk Oblast; rural localities; sporting events; album was nominated; become the biggest; first station; during times; album released; members of the Society; craft beer; nominated for a Grammy; Oblast bear; 
doc2079: plantations; Assault; Parachutist; administrators; preempting; student publications; administrators may; Austrian positions; Satellite craters; enemy territory; responsible for the capture; minor damage; may also refer; eastern side; El Capitan; were often; The 9th; The fire; high school; In 2013; 
doc2080: Excellence; west-northwest; Dimke; Preparatory; Specialist; Michigan Association; villages under its administration; Excellence Award; villages under; Department of Education; 12 villages; state of Michigan; county seat; field goal; under its; In 2010; 
doc2081: jersey; breakaway; Sutton; Reynès; Martens; Adam Hansen; military intervention; solo exhibition; severely damaged; first painting; British military; suffered severe; Khmer National Armed; retirement at; official flag; Royal Navy; green jersey; early phases; move within; The Liberal; 
doc2082: Pleasure; Spoken; Integration; Directorate; Polyester; Integration Directorate; No Pleasure; National Geographic; Spoken For; Radio & Records; Devours Ships; Land That Devours Ships; weeks on the chart; manufactured and distributed; television producer; Geographic Society; Sullivan composed; videos including; Fort Leavenworth; Geographic Society in Washington; 
